Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2015,"Cum 2015, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2014,"Total cases reported  2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",States reporting cases during current week (No.) 
"Meningococcal disease, invasive†††, unknown serogroup",2015,27,1,,97,,5,,196,,298,,260,,323,,406,,NYC (1 )
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,27,,-,1,,0,,9,,1,,3,,6,,10,,
Smallpox††,2015,27,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,27,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Hepatitis B, virus infection perinatal",2015,27,,-,14,,1,,47,,48,,40,,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,27,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Brucellosis,2015,27,,-,44,,2,,92,,99,,114,,79,,115,,
Anthrax,2015,27,,-,,-,,-,,-,,-,,-,1,,,-,
"Hantavirus infection (non-HPS)¶,††",2015,27,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,27,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,27,,-,2,,4,,89,,95,,81,,137,,75,,
Cholera,2015,27,,-,,-,0,,5,,14,,17,,40,,13,,
"Botulism, other (wound and unspecified)",2015,27,,-,6,,0,,19,,12,,18,,32,,25,,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,27,1,,44,,3,,123,,142,,161,,257,,280,,WA (1 )
"Viral hemorrhagic fever, Lujo virus††,****:",2015,27,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Measles***,2015,27,,-,179,,5,,667,,187,,55,,220,,63,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,27,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Q fever, chronic††",2015,27,,-,11,,0,,36,,33,,22,,24,,25,,
Vancomycin-intermediate Staphylococcus aureus††,2015,27,,-,76,,3,,212,,248,,134,,82,,91,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,27,,-,10,,0,,40,,31,,30,,14,,23,,
Trichinellosis††,2015,27,,-,1,,0,,14,,22,,18,,15,,7,,
Listeriosis,2015,27,5,,244,,18,,769,,735,,727,,870,,821,,"NYC (2 ), PA (1 ), FL (1 ), AK (1 )"
"Meningococcal disease, invasive†††, other serogroup",2015,27,,-,11,,0,,25,,17,,20,,20,,12,,
Vancomycin-resistant Staphylococcus aureus††,2015,27,,-,1,,0,,,-,,-,2,,,-,2,,
"Poliomyelitis, paralytic",2015,27,,-,,-,0,,,-,1,,,-,,-,,-,
Leptospirosis††,2015,27,,-,6,,0,,38,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,27,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Rabies, human",2015,27,,-,,-,0,,1,,2,,1,,6,,2,,
"Botulism, foodborne",2015,27,,-,37,,0,,15,,4,,27,,24,,7,,
"Q fever, total††",2015,27,,-,60,,3,,168,,170,,135,,134,,131,,
Hansen disease††,2015,27,1,,25,,2,,88,,81,,82,,82,,98,,FL (1 )
Novel influenza A virus infections§§§,2015,27,,-,1,,1,,3,,21,,313,,14,,4,,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,27,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Hantavirus Pulmonary Syndrome (HPS)††,2015,27,,-,6,,1,,30,,21,,30,,23,,20,,
"Polio virus Infection, nonparalytic,††",2015,27,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,27,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, serogroup B",2015,27,,-,48,,1,,89,,99,,110,,159,,135,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,27,2,,125,,3,,228,,222,,205,,145,,200,,"MA (1 ), TN (1 )"
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,27,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Chancroid,2015,27,,-,14,,0,,6,,,-,15,,8,,24,,
Toxic-shock syndrome (staphylococcal)††,2015,27,,-,29,,1,,59,,71,,65,,78,,82,,
SARS-CoV††,2015,27,,-,,-,,-,,-,,-,,-,,-,,-,
"Influenza-associated pediatric mortality**,††",2015,27,,-,119,,1,,130,,160,,52,,118,,61,,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,27,,-,1,,0,,8,,8,,15,,4,,10,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,27,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Streptococcal toxic-shock syndrome††,2015,27,3,,126,,3,,259,,224,,194,,168,,142,,"NY (1 ), VA (1 ), MT (1 )"
Typhoid fever,2015,27,1,,155,,8,,349,,338,,354,,390,,467,,NYC (1 )
"Q fever, acute††",2015,27,,-,49,,3,,132,,137,,113,,110,,106,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,27,3,,113,,3,,204,,185,,210,,226,,223,,"NC (1 ), FL (2 )"
Plague,2015,27,,-,1,,0,,11,,4,,4,,3,,2,,
"Botulism, infant",2015,27,1,,52,,3,,127,,136,,123,,97,,80,,PA (1 )
"Arboviral diseases, Powassan virus disease**,††",2015,27,,-,1,,1,,8,,12,,7,,16,,8,,
Yellow fever,2015,27,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,27,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
Tularemia,2015,27,1,,57,,7,,180,,203,,149,,166,,124,,RI (1 )
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,28,,-,1,,0,,9,,1,,3,,6,,10,,
Vancomycin-intermediate Staphylococcus aureus††,2015,28,,-,76,,3,,212,,248,,134,,82,,91,,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,28,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Typhoid fever,2015,28,2,,161,,8,,349,,338,,354,,390,,467,,"FL (1 ), AZ (1 )"
"Hemolytic uremic syndrome, postdiarrheal††",2015,28,2,,89,,8,,250,,329,,274,,290,,266,,"NYC (1 ), OR (1 )"
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,28,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Botulism, total",2015,28,1,,101,,3,,161,,152,,168,,153,,112,,
"Meningococcal disease, invasive†††, other serogroup",2015,28,,-,11,,0,,25,,17,,20,,20,,12,,
Toxic-shock syndrome (staphylococcal)††,2015,28,,-,29,,1,,59,,71,,65,,78,,82,,
Measles***,2015,28,,-,178,,4,,667,,187,,55,,220,,63,,
Diphtheria,2015,28,,-,,-,,-,1,,,-,1,,,-,,-,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,28,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
SARS-CoV††,2015,28,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis††,2015,28,,-,8,,0,,38,,,NN,,NN,,NN,,NN,
Trichinellosis††,2015,28,,-,1,,0,,14,,22,,18,,15,,7,,
"Botulism, infant",2015,28,1,,57,,2,,127,,136,,123,,97,,80,,VA (1 )
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,28,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, unknown serogroup",2015,28,2,,100,,5,,196,,298,,260,,323,,406,,"VA (1 ), TX (1 )"
"Viral hemorrhagic fever, Lujo virus††,****:",2015,28,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Anthrax,2015,28,,-,,-,,-,,-,,-,,-,1,,,-,
"Meningococcal disease, invasive†††, serogroup B",2015,28,,-,49,,1,,89,,99,,110,,159,,135,,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,28,,-,1,,0,,8,,8,,15,,4,,10,,
Novel influenza A virus infections§§§,2015,28,,-,1,,1,,3,,21,,313,,14,,4,,
Smallpox††,2015,28,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, virus infection perinatal",2015,28,1,,16,,1,,47,,48,,40,,,NP,,NP,KY (1 )
"Influenza-associated pediatric mortality**,††",2015,28,1,,120,,1,,139,,160,,52,,118,,61,,CA (1 )
"Viral hemorrhagic fever, Lassa fever††,****:",2015,29,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,28,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2015,28,,-,7,,0,,19,,12,,18,,32,,25,,
"Polio virus Infection, nonparalytic,††",2015,28,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus Pulmonary Syndrome (HPS)††,2015,28,,-,8,,1,,33,,21,,30,,23,,20,,
"Q fever, acute††",2015,28,1,,55,,3,,132,,137,,113,,110,,106,,OH (1 )
Cyclosporiasis††,2015,28,26,,193,,22,,388,,784,,123,,151,,179,,"NYC (3 ), GA (2 ), FL (5 ), TX (15 ), UT (1 )"
Chancroid,2015,28,,-,15,,0,,6,,,-,15,,8,,24,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,28,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Psittacosis††,2015,28,,-,2,,,-,8,,6,,2,,2,,4,,
"Q fever, total††",2015,28,1,,66,,3,,168,,170,,135,,134,,131,,
Hansen disease††,2015,28,3,,29,,2,,88,,81,,82,,82,,98,,"NYC (1 ), FL (2 )"
"Viral hemorrhagic fever, Lassa fever††,****:",2015,28,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,28,3,,114,,3,,204,,185,,210,,226,,223,,"PA (2 ), FL (1 )"
"Botulism, foodborne",2015,28,,-,37,,0,,15,,4,,27,,24,,7,,
Plague,2015,28,,-,1,,0,,11,,4,,4,,3,,2,,
Vancomycin-resistant Staphylococcus aureus††,2015,28,,-,1,,,-,,-,,-,2,,,-,2,,
"Q fever, chronic††",2015,28,,-,11,,0,,36,,33,,22,,24,,25,,
Cholera,2015,28,,-,,-,0,,5,,14,,17,,40,,13,,
Yellow fever,2015,28,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,28,3,,130,,3,,228,,222,,205,,145,,200,,"NE (1 ), AR (1 ), CO (1 )"
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,28,,-,11,,0,,40,,31,,30,,14,,23,,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,28,,-,45,,3,,123,,142,,161,,257,,280,,
Tularemia,2015,28,1,,63,,7,,180,,203,,149,,166,,124,,MO (1 )
Brucellosis,2015,28,1,,50,,2,,92,,99,,114,,79,,115,,TX (1 )
"Arboviral diseases, California serogroup virus disease**,††",2015,28,,-,3,,5,,89,,95,,81,,137,,75,,
"Hantavirus infection (non-HPS)¶,††",2015,28,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,28,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, Powassan virus disease**,††",2015,28,,-,1,,0,,8,,12,,7,,16,,8,,
Streptococcal toxic-shock syndrome††,2015,28,1,,128,,4,,259,,224,,194,,168,,142,,ME (1 )
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,28,,-,127,,7,,462,,348,,322,,360,,377,,
"Rabies, human",2015,28,,-,,-,0,,1,,2,,1,,6,,2,,
"Poliomyelitis, paralytic",2015,28,,-,,-,0,,,-,1,,,-,,-,,-,
Listeriosis,2015,28,11,,265,,19,,769,,735,,727,,870,,821,,"MA (1 ), NY (2 ), NYC (1 ), OH (3 ), MD (1 ), SC (1 ), TX (1 ), AK (1 )"
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,28,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,28,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Rabies, human",2015,29,,-,,-,0,,1,,2,,1,,6,,2,,
Chancroid,2015,29,,-,15,,0,,6,,,-,15,,8,,24,,
Plague,2015,29,,-,1,,0,,11,,4,,4,,3,,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,29,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,29,2,,134,,2,,228,,222,,205,,145,,200,,WA (2 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,29,2,,13,,0,,40,,31,,30,,14,,23,,"TX (1 ), CO (1 )"
Psittacosis††,2015,29,,-,2,,0,,8,,6,,2,,2,,4,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,29,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Cholera,2015,29,,-,,-,0,,5,,14,,17,,40,,13,,
Toxic-shock syndrome (staphylococcal)††,2015,29,,-,29,,2,,59,,71,,65,,78,,82,,
SARS-CoV††,2015,29,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2015,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,29,,-,3,,6,,89,,95,,81,,137,,75,,
Novel influenza A virus infections§§§,2015,29,1,,3,,2,,3,,21,,313,,14,,4,,MN (1 )
Cyclosporiasis††,2015,29,37,,255,,27,,388,,784,,123,,151,,179,,"NY (1 ), NYC (9 ), VA (3 ), SC (1 ), GA (5 ), FL (2 ), AR (1 ), TX (15 )"
Smallpox††,2015,35,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute††",2015,29,,-,57,,3,,132,,137,,113,,110,,106,,
"Botulism, foodborne",2015,29,,-,39,,0,,15,,4,,27,,24,,7,,
"Hantavirus infection (non-HPS)¶,††",2015,29,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Vancomycin-intermediate Staphylococcus aureus††,2015,29,4,,80,,3,,212,,248,,134,,82,,91,,NYC (4 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,29,2,,118,,3,,204,,185,,210,,226,,223,,"WI (1 ), FL (1 )"
"Polio virus Infection, nonparalytic,††",2015,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,29,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Diphtheria,2015,29,,-,,-,,-,1,,,-,1,,,-,,-,
Hansen disease††,2015,29,,-,29,,2,,88,,81,,82,,82,,98,,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,29,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Hantavirus Pulmonary Syndrome (HPS)††,2015,29,,-,8,,1,,33,,21,,30,,23,,20,,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,29,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Leptospirosis††,2015,29,,-,8,,0,,38,,,NN,,NN,,NN,,NN,
"Hepatitis B, virus infection perinatal",2015,29,,-,15,,1,,47,,48,,40,,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus††,2015,29,,-,1,,,-,,-,,-,2,,,-,2,,
Streptococcal toxic-shock syndrome††,2015,29,1,,137,,3,,259,,224,,194,,168,,142,,SC (1 )
"Hemolytic uremic syndrome, postdiarrheal††",2015,29,2,,96,,9,,250,,329,,274,,290,,266,,"NY (1 ), OK (1 )"
"Q fever, total††",2015,29,,-,68,,3,,168,,170,,135,,134,,131,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,29,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,29,,-,137,,7,,462,,348,,322,,360,,377,,
"Botulism, other (wound and unspecified)",2015,29,,-,8,,0,,19,,12,,18,,32,,25,,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,29,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Botulism, infant",2015,29,1,,58,,2,,127,,136,,123,,97,,80,,PA (1 )
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,29,,-,46,,3,,123,,142,,161,,257,,280,,
"Botulism, total",2015,29,1,,105,,2,,161,,152,,168,,153,,112,,
"Arboviral diseases, Powassan virus disease**,††",2015,29,,-,1,,0,,8,,12,,7,,16,,8,,
Measles***,2015,29,1,,181,,3,,667,,187,,55,,220,,63,,CA (1 )
Trichinellosis††,2015,29,,-,1,,0,,14,,22,,18,,15,,7,,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,29,,-,1,,0,,8,,8,,15,,4,,10,,
"Meningococcal disease, invasive†††, other serogroup",2015,29,1,,12,,0,,25,,17,,20,,20,,12,,TN (1 )
Tularemia,2015,29,6,,77,,6,,180,,203,,149,,166,,124,,"MO (1 ), NC (1 ), AR (1 ), OK (3 )"
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,29,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive†††, serogroup B",2015,29,1,,51,,1,,89,,99,,110,,159,,135,,OK (1 )
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,29,,-,1,,0,,9,,1,,3,,6,,10,,
"Poliomyelitis, paralytic",2015,29,,-,,-,0,,,-,1,,,-,,-,,-,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,29,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
Typhoid fever,2015,29,4,,171,,8,,349,,338,,354,,390,,467,,"NY (1 ), VA (1 ), WA (2 )"
"Q fever, chronic††",2015,29,,-,11,,1,,36,,33,,22,,24,,25,,
Listeriosis,2015,29,6,,284,,20,,769,,735,,727,,870,,821,,"NY (1 ), SC (1 ), FL (3 ), OK (1 )"
"Influenza-associated pediatric mortality**,††",2015,29,,-,120,,1,,141,,160,,52,,118,,61,,
Anthrax,2015,29,,-,,-,,-,,-,,-,,-,1,,,-,
Brucellosis,2015,29,4,,56,,2,,92,,99,,114,,79,,115,,"FL (2 ), TX (2 )"
Smallpox††,2015,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, invasive†††, unknown serogroup",2015,29,,-,100,,4,,196,,298,,260,,323,,406,,
Tularemia,2015,30,1,,91,,7,,180,,203,,149,,166,,124,,MO (1 )
SARS-CoV††,2015,30,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis††,2015,30,12,,277,,29,,388,,784,,123,,151,,179,,"NY (2 ), NE (1 ), FL (3 ), AR (1 ), LA (1 ), TX (4 )"
Psittacosis††,2015,30,,-,2,,0,,8,,6,,2,,2,,4,,
Leptospirosis††,2015,30,,-,8,,0,,38,,,NN,,NN,,NN,,NN,
Diphtheria,2015,30,,-,,-,,-,1,,,-,1,,,-,,-,
"Meningococcal disease, invasive†††, other serogroup",2015,30,,-,12,,0,,25,,17,,20,,20,,12,,
Typhoid fever,2015,30,2,,178,,9,,349,,338,,354,,390,,467,,NY (2 )
"Viral hemorrhagic fever, Lujo virus††,****:",2015,30,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal††",2015,30,1,,101,,9,,250,,329,,274,,290,,266,,FL (1 )
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,30,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Botulism, foodborne",2015,30,2,,41,,0,,15,,4,,27,,24,,7,,"OK (1 ), AK (1 )"
Yellow fever,2015,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total††",2015,30,,-,69,,3,,168,,170,,135,,134,,131,,
Toxic-shock syndrome (staphylococcal)††,2015,30,,-,31,,2,,59,,71,,65,,78,,82,,
"Arboviral diseases, Powassan virus disease**,††",2015,30,,-,1,,0,,8,,12,,7,,16,,8,,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,30,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, serogroup B",2015,30,1,,53,,1,,89,,99,,110,,159,,135,,TX (1 )
"Viral hemorrhagic fever, Marburg fever††,****:",2015,30,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,30,,-,1,,0,,8,,8,,15,,4,,10,,
Smallpox††,2015,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,30,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,30,,-,134,,2,,228,,222,,205,,145,,200,,
Plague,2015,30,,-,1,,0,,10,,4,,4,,3,,2,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,30,,-,13,,0,,40,,31,,30,,14,,23,,
Measles***,2015,30,,-,181,,2,,667,,187,,55,,220,,63,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,30,3,,121,,3,,204,,185,,210,,226,,223,,"OH (1 ), OK (2 )"
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,30,,-,1,,0,,9,,1,,3,,6,,10,,
Cholera,2015,30,,-,,-,0,,5,,14,,17,,40,,13,,
"Q fever, chronic††",2015,30,,-,11,,1,,36,,33,,22,,24,,25,,
"Influenza-associated pediatric mortality**,††",2015,30,,-,120,,1,,141,,160,,52,,118,,61,,
Anthrax,2015,30,,-,,-,,-,,-,,-,,-,1,,,-,
"Hantavirus infection (non-HPS)¶,††",2015,30,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,30,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Hansen disease††,2015,30,1,,30,,2,,88,,81,,82,,82,,98,,FL (1 )
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,30,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus††,2015,30,,-,1,,0,,,-,,-,2,,,-,2,,
Vancomycin-intermediate Staphylococcus aureus††,2015,30,,-,81,,3,,212,,248,,134,,82,,91,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,30,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, California serogroup virus disease**,††",2015,30,,-,3,,7,,89,,95,,81,,137,,75,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,30,2,,103,,4,,196,,298,,260,,323,,406,,"FL (1 ), TX (1 )"
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,30,,-,47,,3,,123,,142,,161,,257,,280,,
Chancroid,2015,30,,-,15,,0,,6,,,-,15,,8,,24,,
Novel influenza A virus infections§§§,2015,30,,-,3,,7,,3,,21,,313,,14,,4,,
Streptococcal toxic-shock syndrome††,2015,30,2,,140,,3,,259,,224,,194,,168,,142,,"ME (1 ), NC (1 )"
Hantavirus Pulmonary Syndrome (HPS)††,2015,30,,-,8,,1,,32,,21,,30,,23,,20,,
"Botulism, total",2015,30,4,,113,,3,,161,,152,,168,,153,,112,,
Listeriosis,2015,30,9,,305,,22,,769,,735,,727,,870,,821,,"NY (2 ), OH (3 ), MD (1 ), FL (3 )"
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,30,,-,139,,8,,462,,348,,322,,360,,377,,
"Q fever, acute††",2015,30,,-,58,,3,,132,,137,,113,,110,,106,,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,30,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Rabies, human",2015,30,,-,,-,0,,1,,2,,1,,6,,2,,
Brucellosis,2015,30,3,,60,,2,,92,,99,,114,,79,,115,,"FL (2 ), TX (1 )"
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,30,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Botulism, infant",2015,30,2,,64,,2,,127,,136,,123,,97,,80,,"TN (1 ), AK (1 )"
Trichinellosis††,2015,30,,-,1,,0,,14,,22,,18,,15,,7,,
"Botulism, other (wound and unspecified)",2015,30,,-,8,,0,,19,,12,,18,,32,,25,,
"Polio virus Infection, nonparalytic,††",2015,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, virus infection perinatal",2015,30,,-,15,,1,,47,,48,,40,,,NP,,NP,
"Poliomyelitis, paralytic",2015,30,,-,,-,0,,,-,1,,,-,,-,,-,
Brucellosis,2015,31,,-,61,,3,,92,,99,,114,,79,,115,,
Vancomycin-intermediate Staphylococcus aureus††,2015,31,3,,88,,3,,212,,248,,134,,82,,91,,OH (3 )
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,31,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,31,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,31,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
SARS-CoV††,2015,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,31,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Smallpox††,2015,31,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis††,2015,31,,-,8,,0,,38,,,NN,,NN,,NN,,NN,
Streptococcal toxic-shock syndrome††,2015,31,1,,145,,2,,259,,224,,194,,168,,142,,MT (1 )
Diphtheria,2015,31,,-,,-,,-,1,,,-,1,,,-,,-,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,31,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Hepatitis B, virus infection perinatal",2015,31,,-,15,,1,,47,,48,,40,,,NP,,NP,
Tularemia,2015,31,2,,96,,6,,180,,203,,149,,166,,124,,"NE (1 ), FL (1 )"
"Hemolytic uremic syndrome, postdiarrheal††",2015,31,1,,101,,9,,250,,329,,274,,290,,266,,NE (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,31,,-,14,,0,,40,,31,,30,,14,,23,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,31,,-,3,,0,,9,,1,,3,,6,,10,,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,31,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,31,,-,47,,2,,123,,142,,161,,257,,280,,
"Arboviral diseases, California serogroup virus disease**,††",2015,31,,-,7,,7,,89,,95,,81,,137,,75,,
Chancroid,2015,31,,-,15,,0,,6,,,-,15,,8,,24,,
"Botulism, foodborne",2015,31,1,,42,,0,,15,,4,,27,,24,,7,,AK (1 )
