Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2016,"Cum 2016, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2015,"Total cases reported  2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",States reporting cases during current week (No.) 
Brucellosis,2016,46,,-,95,,1,,126,,92,,99,,114,,79,,
"Rabies, human",2016,46,,-,,-,0,,1,,1,,2,,1,,6,,
Trichinellosis**,2016,46,,-,14,,1,,14,,14,,22,,18,,15,,
"Botulism, infant",2016,46,2,,99,,2,,138,,127,,136,,123,,97,,"PA (1 ), OH (1 )"
Cyclosporiasis**,2016,46,,-,433,,1,,645,,388,,784,,123,,151,,
"Q fever, acute**",2016,46,,-,93,,1,,122,,132,,137,,113,,110,,
"Syphilis, congenital****",2016,46,,-,370,,7,,493,,458,,348,,322,,360,,
"Botulism, total",2016,46,2,,148,,3,,195,,161,,152,,168,,153,,
"Poliomyelitis, paralytic",2016,46,,-,,-,,-,,-,,-,1,,,-,,-,
Vancomycin-intermediate Staphylococcus aureus**,2016,46,,-,88,,3,,183,,212,,248,,134,,82,,
Toxic-shock syndrome (staphylococcal)**,2016,47,1,,26,,1,,64,,59,,71,,65,,78,,OH (1 )
Yellow fever,2016,47,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, virus infection perinatal",2016,47,2,,21,,1,,37,,47,,48,,40,,,NP,PA (2 )
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,47,,-,12,,0,,21,,32,,21,,30,,23,,
Typhoid fever,2016,47,2,,274,,4,,367,,349,,338,,354,,390,,"MD (1 ), TX (1 )"
Diphtheria,2016,47,,-,,-,,-,,-,1,,,-,1,,,-,
"Polio virus Infection, nonparalytic**",2016,47,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2016,47,1,,580,,14,,768,,769,,735,,727,,870,,OH (1 )
"Rabies, human",2016,47,,-,,-,,-,2,,1,,2,,1,,6,,
"Q fever, total**",2016,47,,-,114,,2,,156,,168,,170,,135,,134,,
Plague,2016,47,,-,,-,0,,16,,10,,4,,4,,3,,
"Botulism, other (wound and unspecified)",2016,47,,-,20,,0,,20,,19,,12,,18,,32,,
Vancomycin-resistant Staphylococcus aureus**,2016,47,,-,,-,0,,3,,,-,,-,2,,,-,
Vancomycin-intermediate Staphylococcus aureus**,2016,47,1,,89,,3,,183,,212,,248,,134,,82,,NYC (1 )
Leptospirosis**,2016,47,,-,44,,1,,40,,38,,,NN,,NN,,NN,
Hansen's disease**,2016,47,,-,38,,1,,89,,88,,81,,82,,82,,
Trichinellosis**,2016,47,,-,14,,1,,14,,14,,22,,18,,15,,
"Poliomyelitis, paralytic",2016,47,,-,,-,,-,,-,,-,1,,,-,,-,
"Botulism, total",2016,47,,-,151,,3,,195,,161,,152,,168,,153,,
"Influenza-associated pediatric mortality**,***",2016,47,,-,81,,1,,130,,141,,160,,52,,118,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,47,,-,216,,5,,274,,250,,329,,274,,290,,
Tularemia,2016,47,5,,184,,2,,314,,180,,203,,149,,166,,OK (5 )
"Botulism, infant",2016,47,,-,101,,2,,138,,127,,136,,123,,97,,
Smallpox,2016,47,,-,,-,,-,,-,,-,,-,,-,,-,
Brucellosis,2016,47,1,,97,,1,,126,,92,,99,,114,,79,,TX (1 )
Streptococcal toxic-shock syndrome**,2016,47,,-,204,,4,,335,,259,,224,,194,,168,,
Cyclosporiasis**,2016,47,1,,437,,1,,645,,388,,784,,123,,151,,NY (1 )
SARS-CoV,2016,47,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis**,2016,47,,-,7,,0,,4,,8,,6,,2,,2,,
Cholera,2016,47,,-,3,,0,,5,,5,,14,,17,,40,,
Anthrax,2016,47,,-,,-,,-,,-,,-,,-,,-,1,,
"Botulism, foodborne",2016,47,,-,30,,0,,37,,15,,4,,27,,24,,
Chancroid,2016,47,,-,8,,0,,11,,,-,,-,15,,8,,
"Q fever, acute**",2016,47,,-,96,,1,,122,,132,,137,,113,,110,,
"Q fever, chronic**",2016,47,,-,18,,1,,34,,36,,33,,22,,24,,
"Syphilis, congenital****",2016,47,,-,386,,7,,493,,458,,348,,322,,360,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,25,,-,,-,1,,55,,80,,85,,78,,130,,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,41,1,,3943,,,-,,NN,,NN,,NN,,NN,,NN,MD (1 )
Measles†††,2016,38,,-,52,,1,,188,,667,,187,,55,,220,,
Toxic-shock syndrome (staphylococcal)**,2016,48,,-,26,,1,,64,,59,,71,,65,,78,,
"Arboviral diseases¶,** Chikungunya virus††",2016,34,,-,64,,6,,896,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,36,,-,2,,0,,23,,10,,1,,3,,6,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,16,,-,38,,1,,123,,266,,233,,263,,230,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,31,,-,,-,1,,23,,10,,1,,3,,6,,
"Viral hemorrhagic fever††††, Lujo virus",2016,25,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,42,2,,152,,3,,167,,39,,34,,37,,48,,"OH (1 ), VA (1 )"
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,18,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,39,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,42,,-,4015,,,-,,NN,,NN,,NN,,NN,,NN,
Novel influenza A virus infections¶¶¶,2016,38,,-,21,,1,,6,,3,,21,,313,,14,,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,32,3,,2194,,,-,,NN,,NN,,NN,,NN,,NN,"NYC (1 ), MD (1 ), TN (1 )"
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,48,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, serogroup B",2016,36,,-,51,,1,,111,,89,,99,,110,,159,,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,21,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,16,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,47,,-,80,,3,,120,,123,,142,,161,,257,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,34,,-,94,,2,,175,,128,,141,,115,,93,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,20,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,46,,-,3,,0,,1,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,20,,-,,-,0,,23,,10,,1,,3,,6,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,20,1,,71,,4,,148,,128,,141,,115,,93,,WA (1 )
Novel influenza A virus infections¶¶¶,2016,41,,-,21,,0,,6,,3,,21,,313,,14,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,3,,-,,-,0,,19,,10,,1,,3,,6,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,37,,-,13,,1,,29,,40,,31,,30,,14,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,18,3,,73,,4,,184,,39,,34,,37,,48,,"NYC (1 ), FL (1 ), AZ (1 )"
"Zika virus††,§§§§, Zika virus congenital infection ",2016,26,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,24,1,,761,,0,,,NN,,NN,,NN,,NN,,NN,FL (1 )
"Arboviral diseases¶,** La Crosse virus§§ ",2016,9,,-,,-,,-,52,,80,,85,,78,,130,,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,20,1,,537,,0,,,NN,,NN,,NN,,NN,,NN,AZ (1 )
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,1,,-,,-,4,,84,,123,,142,,161,,257,,
"Viral hemorrhagic fever§§§§, Lassa fever",2016,12,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,38,,-,5,,0,,7,,8,,12,,7,,16,,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,23,6,,697,,0,,,NN,,NN,,NN,,NN,,NN,"MA (1 ), MD (3 ), OK (1 ), TX (1 )"
"Arboviral diseases¶,** Powassan virus ",2016,8,,-,,-,,-,6,,8,,12,,7,,16,,
"Viral hemorrhagic fever††††, Lujo virus",2016,40,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,23,,-,1,,1,,7,,8,,12,,7,,16,,
"Viral hemorrhagic fever§§§§, Guanarito hemorrhagic fever",2016,11,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,3,,-,,-,,-,6,,8,,12,,7,,16,,
"Viral hemorrhagic fever††††, Lujo virus",2016,42,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,35,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,25,,-,1,,1,,7,,8,,12,,7,,16,,
"Meningococcal disease, invasive§§§, other serogroup",2016,29,,-,9,,0,,21,,25,,17,,20,,20,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,36,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Marburg fever",2016,24,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Brucellosis,2016,48,1,,100,,1,,126,,92,,99,,114,,79,,FL (1 )
"Viral hemorrhagic fever§§§§, Marburg fever",2016,9,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,34,1,,59,,2,,120,,123,,142,,161,,257,,SC (1 )
"Viral hemorrhagic fever††††, Marburg fever",2016,48,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,26,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,42,,-,6,,0,,7,,8,,12,,7,,16,,
Measles†††,2016,33,,-,49,,3,,188,,667,,187,,55,,220,,
Measles†††,2016,41,,-,53,,1,,188,,667,,187,,55,,220,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,32,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles†††,2016,17,4,,11,,7,,185,,667,,187,,55,,220,,TN (4 )
Novel influenza A virus infections¶¶¶,2016,18,,-,1,,0,,6,,3,,21,,313,,14,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,38,,-,10,,2,,55,,80,,85,,78,,130,,
"Meningococcal disease, invasive§§§, other serogroup",2016,23,1,,7,,0,,20,,25,,17,,20,,20,,OK (1 )
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,21,,-,,-,,-,,-,,-,,-,,-,,-,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,30,5,,1764,,0,,,NN,,NN,,NN,,NN,,NN,"PA (1 ), MN (1 ), TN (1 ), MS (1 ), TX (1 )"
"Zika virus††,§§§§, Zika virus congenital infection ",2016,44,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,40,,-,6,,0,,23,,10,,1,,3,,6,,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,11,,-,,-,,-,,-,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,13,,-,,-,,-,6,,8,,8,,15,,4,,
"Meningococcal disease, invasive§§§, other serogroup",2016,43,,-,13,,0,,21,,25,,17,,20,,20,,
"Viral hemorrhagic fever§§§§, Lujo virus",2016,14,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lassa fever",2016,41,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lassa fever",2016,21,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,21,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,38,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,38,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,26,,-,1,,1,,7,,8,,12,,7,,16,,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,36,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,9,1,,1,,0,,20,,25,,17,,20,,20,,ME (1 )
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,28,,-,58,,2,,120,,123,,142,,161,,257,,
"Viral hemorrhagic fever††††, Lujo virus",2016,18,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Machupo hemorrhagic fever",2016,13,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,46,,-,9,,,-,23,,10,,1,,3,,6,,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,40,1,,137,,4,,120,,196,,298,,260,,323,,FL (1 )
"Viral hemorrhagic fever††††, Marburg fever",2016,37,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,3,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,2,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,21,,-,47,,1,,128,,266,,233,,263,,230,,
"Viral hemorrhagic fever§§§§, Marburg fever",2016,14,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lassa fever",2016,47,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,16,,-,58,,4,,197,,39,,34,,37,,48,,
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,6,,-,,-,1,,19,,25,,17,,20,,20,,
"Viral hemorrhagic fever††††, Lassa fever",2016,42,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,39,,-,15,,0,,29,,40,,31,,30,,14,,
Measles†††,2016,22,2,,28,,16,,188,,667,,187,,55,,220,,"FL (1 ), AZ (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,22,,-,7,,0,,29,,40,,31,,30,,14,,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,29,,-,,-,0,,11,,11,,22,,2,,3,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,43,,-,23,,0,,55,,80,,85,,78,,130,,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,22,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,15,,-,,-,,-,1,,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive§§§, serogroup B",2016,19,,-,28,,3,,104,,89,,99,,110,,159,,
"Meningococcal disease, invasive§§§, serogroup B",2016,46,,-,59,,2,,111,,89,,99,,110,,159,,
"Viral hemorrhagic fever††††, Marburg fever",2016,23,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,23,1,,95,,4,,199,,39,,34,,37,,48,,VA (1 )
"Arboviral diseases¶,** Zika virus¶¶ ",2016,14,1,,316,,0,,42,,,NN,,NN,,NN,,NN,MD (1 )
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,43,,-,3,,0,,1,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Lassa fever",2016,34,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,33,,-,92,,2,,175,,128,,141,,115,,93,,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,21,,-,,-,0,,11,,11,,22,,2,,3,,
"Viral hemorrhagic fever§§§§, Marburg fever",2016,8,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Novel influenza A virus infections¶¶¶,2016,32,4,,7,,11,,6,,3,,21,,313,,14,,"MI (2), OH (2)"
"Viral hemorrhagic fever§§§§, Machupo hemorrhagic fever",2016,14,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Syphilis, congenital††††",2016,10,,-,39,,7,,419,,458,,348,,322,,360,,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,8,,-,,-,,-,,-,,NN,,NN,,NN,,NN,
"Influenza-associated pediatric mortality**,†††",2016,9,2,,14,,6,,130,,141,,160,,52,,118,,"IN (1 ), NV (1 )"
Measles§§§,2016,5,,-,2,,7,,187,,667,,187,,55,,220,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,43,,-,6,,0,,23,,10,,1,,3,,6,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,18,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,19,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,46,,-,119,,4,,175,,128,,141,,115,,93,,
"Viral hemorrhagic fever††††, Lassa fever",2016,45,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,40,,-,2,,,-,11,,11,,22,,2,,3,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,35,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Machupo hemorrhagic fever",2016,10,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lassa fever",2016,38,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, serogroup B",2016,3,1,,2,,2,,84,,89,,99,,110,,159,,OH (1 )
"Arboviral diseases¶,** Zika virus¶¶ ",2016,6,,-,57,,,-,27,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,11,,-,,-,,-,53,,80,,85,,78,,130,,
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,18,,-,32,,4,,104,,123,,142,,161,,257,,
"Viral hemorrhagic fever††††, Marburg fever",2016,42,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, other serogroup",2016,25,,-,7,,0,,21,,25,,17,,20,,20,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,46,2,,163,,3,,167,,39,,34,,37,,48,,"PA (1 ), TX (1 )"
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,22,,-,43,,3,,105,,123,,142,,161,,257,,
"Viral hemorrhagic fever§§§§, Sabia-associated hemorrhagic fever",2016,4,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,40,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typable serotype ",2016,2,1,,3,,5,,123,,128,,141,,115,,93,,UT (1 )
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,40,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,10,,-,,-,,-,52,,80,,85,,78,,130,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,26,1,,108,,4,,167,,39,,34,,37,,48,,FL (1 )
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,24,,-,3,,,-,1,,,NN,,NN,,NN,,NN,
"Syphilis, congenital††††",2016,4,,-,5,,8,,369,,458,,348,,322,,360,,
"Syphilis, congenital††††",2016,14,,-,64,,7,,450,,458,,348,,322,,360,,
"Viral hemorrhagic fever§§§§, Lassa fever",2016,4,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,20,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles§§§,2016,8,,-,2,,5,,186,,667,,187,,55,,220,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,16,,-,,-,0,,19,,10,,1,,3,,6,,
"Meningococcal disease, invasive§§§, other serogroup",2016,19,,-,4,,0,,22,,25,,17,,20,,20,,
"Arboviral diseases¶,** Chikungunya virus††",2016,47,,-,144,,2,,896,,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive¶¶¶, serogroup ACWY",2016,7,,-,9,,3,,95,,123,,142,,161,,257,,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,47,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
Measles†††,2016,29,,-,43,,3,,188,,667,,187,,55,,220,,
"Viral hemorrhagic fever§§§§, Lassa fever",2016,9,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,34,5,,136,,3,,167,,39,,34,,37,,48,,"OH (2 ), MD (1 ), FL (1 ), TX (1 )"
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,36,,-,2,,0,,11,,11,,22,,2,,3,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,30,,-,2,,2,,55,,80,,85,,78,,130,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,12,,-,,-,,-,55,,80,,85,,78,,130,,
Novel influenza A virus infections¶¶¶,2016,27,,-,3,,1,,6,,3,,21,,313,,14,,
"Meningococcal disease, invasive§§§, serogroup B",2016,37,,-,51,,1,,111,,89,,99,,110,,159,,
Novel influenza A virus infections¶¶¶,2016,26,2,,3,,1,,6,,3,,21,,313,,14,,"MN (1 ), WI (1 )"
Measles†††,2016,45,,-,60,,1,,188,,667,,187,,55,,220,,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,12,,-,,-,,-,3,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,26,,-,,-,0,,23,,10,,1,,3,,6,,
"Viral hemorrhagic fever§§§§, Crimean-Congo hemorrhagic fever",2016,14,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Novel influenza A virus infections¶¶¶,2016,23,,-,2,,0,,6,,3,,21,,313,,14,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,19,,-,,-,0,,23,,10,,1,,3,,6,,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,27,2,,97,,4,,120,,196,,298,,260,,323,,"FL (1 ), CA (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,29,,-,10,,0,,29,,40,,31,,30,,14,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,2,,-,,-,0,,25,,40,,31,,30,,14,,
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,15,,-,2,,1,,22,,25,,17,,20,,20,,
"Arboviral diseases¶,** Zika virus¶¶ ",2016,12,1,,274,,0,,38,,,NN,,NN,,NN,,NN,MS (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,1,,-,,-,1,,23,,40,,31,,30,,14,,
"Viral hemorrhagic fever††††, Lujo virus",2016,20,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles†††,2016,19,,-,15,,12,,185,,667,,187,,55,,220,,
"Meningococcal disease, invasive§§§, serogroup B",2016,17,,-,22,,3,,98,,89,,99,,110,,159,,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,1,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Crimean-Congo hemorrhagic fever",2016,5,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,3,,-,1,,0,,26,,40,,31,,30,,14,,
Measles†††,2016,24,,-,39,,13,,188,,667,,187,,55,,220,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,26,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,24,4,,91,,4,,120,,196,,298,,260,,323,,"NYC (1 ), VA (1 ), TN (1 ), CA (1 )"
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,38,,-,65,,2,,120,,123,,142,,161,,257,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,29,,-,,-,1,,23,,10,,1,,3,,6,,
"Viral hemorrhagic fever§§§§, Lujo virus",2016,12,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Lujo virus",2016,11,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lassa fever",2016,25,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,33,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Guanarito hemorrhagic fever",2016,7,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,35,3,,129,,3,,120,,196,,298,,260,,323,,"FL (1 ), OR (2 )"
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,12,,-,2,,1,,22,,25,,17,,20,,20,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,18,,-,,-,,-,6,,8,,8,,15,,4,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,20,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Ebola hemorrhagic fever",2016,15,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,20,4,,87,,4,,189,,39,,34,,37,,48,,"OH (1 ), FL (3 )"
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,45,,-,117,,3,,175,,128,,141,,115,,93,,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,2,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, other serogroup",2016,20,,-,5,,0,,22,,25,,17,,20,,20,,
Novel influenza A virus infections¶¶¶,2016,33,7,,14,,12,,6,,3,,21,,313,,14,,"MI (6 ), OH (1 )"
"Arboviral diseases¶,** La Crosse virus§§ ",2016,36,,-,9,,2,,55,,80,,85,,78,,130,,
