Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
Smallpox,2018,29,,-,,-,,-,,-,,-,,-,,-,,-,
Brucellosis,2018,29,,-,54,,3,,141,,127,,126,,92,,99,,
Novel Influenza A virus infections§§,2018,29,,-,1,,1,,66,,23,,7,,3,,21,,
Cholera,2018,29,,-,2,,0,,4,,15,,5,,5,,14,,
"Polio virus Infection, nonparalytic¶",2018,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever***, Marburg virus",2018,29,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Syphilis, congenital",2018,30,,-,306,,12,,916,,633,,493,,458,,348,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,30,,-,,-,,-,,-,6,,3,,,NN,,NN,
Trichinellosis¶,2018,30,,-,,-,0,,16,,26,,14,,14,,22,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,30,,-,97,,3,,198,,196,,175,,128,,141,,
Novel Influenza A virus infections§§,2018,30,,-,1,,1,,66,,23,,7,,3,,21,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,30,,-,7,,3,,63,,35,,55,,80,,85,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,30,,-,4,,1,,34,,22,,7,,8,,12,,
"Viral hemorrhagic fever***, Sabia virus",2018,30,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, chronic",2018,30,,-,12,,1,,40,,32,,34,,36,,33,,
Leptospirosis¶,2018,30,,-,26,,1,,69,,78,,40,,38,,,NN,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,30,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2018,30,4,,68,,10,,239,,230,,314,,180,,203,,"MO (2 ), AR (2 )"
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,30,,-,19,,1,,33,,30,,29,,40,,31,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,30,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,30,4,,103,,9,,337,,307,,274,,250,,329,,"NY (1 ), VA (1 ), AR (1 ), CO (1 )"
Streptococcal toxic-shock syndrome¶,2018,30,2,,178,,3,,372,,283,,335,,259,,224,,"ME (1 ), NY (1 )"
Diphtheria,2018,30,,-,,-,,-,,-,,-,,-,1,,,-,
Brucellosis,2018,30,,-,56,,3,,142,,127,,126,,92,,99,,
Smallpox,2018,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lassa virus",2018,30,,-,,-,,-,,-,,-,1,,1,,,NP,
Plague,2018,30,,-,1,,1,,1,,4,,16,,10,,4,,
Listeriosis,2018,30,5,,288,,22,,887,,786,,768,,769,,735,,"PA (1 ), FL (2 ), AL (1 ), OK (1 )"
"Meningococcal disease, Serogroups ACWY",2018,30,,-,58,,2,,106,,126,,120,,123,,142,,
"Poliomyelitis, paralytic",2018,30,,-,,-,0,,,-,,-,,-,,-,1,,
Cyclosporiasis¶,2018,30,33,,1253,,63,,1164,,535,,645,,388,,784,,"MA (1 ), RI (1 ), NY (2 ), IL (1 ), MO (11 ), NE (2 ), VA (4 ), GA (1 ), TN (2 ), AR (1 ), CO (6 ), NM (1 )"
Chancroid,2018,30,,-,10,,0,,7,,11,,11,,,-,,-,
"Botulism, total",2018,30,,-,95,,3,,175,,201,,195,,161,,152,,
"Polio virus Infection, nonparalytic¶",2018,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,30,,-,1,,0,,5,,7,,6,,8,,8,,
"Meningococcal disease, Unknown serogroup",2018,30,1,,97,,3,,131,,142,,120,,196,,298,,FL (1 )
"Q fever¶, acute",2018,30,,-,81,,3,,152,,132,,122,,132,,137,,
Paratyphoid fever¶¶,2018,30,,-,18,,,NA,,NA,,NA,,NA,,NA,,NA,
Anthrax,2018,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2018,30,,-,7,,0,,19,,31,,37,,15,,4,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,30,,-,31,,10,,156,,247,,896,,,NN,,NN,
Cholera,2018,30,,-,2,,0,,4,,15,,5,,5,,14,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,30,,-,86,,1,,187,,159,,135,,266,,233,,
"Viral hemorrhagic fevers***, Machupo virus",2018,30,,-,,-,,-,,-,,-,,-,,NP,,NP,
Brucellosis,2018,31,,-,59,,3,,143,,127,,126,,92,,99,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,30,,-,13,,1,,30,,40,,64,,59,,71,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,30,,-,,-,1,,11,,8,,23,,10,,1,,
"Botulism, infant",2018,30,,-,70,,3,,135,,144,,138,,127,,136,,
"Q fever¶, total",2018,30,,-,93,,4,,192,,164,,156,,168,,170,,
Vancomycin-resistant Staphylococcus aureus¶,2018,30,,-,,-,0,,,-,,-,3,,,-,,-,
Psittacosis¶,2018,30,,-,6,,0,,5,,12,,4,,8,,6,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,30,7,,155,,3,,202,,187,,167,,39,,34,,"NYC (1 ), FL (3 ), TN (1 ), LA (1 ), AK (1 )"
Measles††,2018,30,,-,102,,2,,120,,85,,188,,667,,187,,
"Botulism, other (wound and unspecified)",2018,30,,-,18,,0,,21,,26,,20,,19,,12,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,30,,-,,-,,-,,-,,-,,-,4,,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,30,,-,3,,1,,75,,15,,11,,11,,22,,
"Meningococcal disease, Other serogroups",2018,30,,-,12,,0,,25,,21,,21,,25,,17,,
"Viral hemorrhagic fever***, Marburg virus",2018,30,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Rabies, human",2018,30,,-,1,,0,,2,,,-,2,,1,,2,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,30,1,,37,,3,,109,,108,,183,,212,,248,,NY (1 )
"Influenza-associated pediatric mortality¶,**",2018,30,,-,167,,1,,126,,82,,130,,141,,160,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,30,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Junin virus",2018,30,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroup B",2018,30,,-,31,,1,,90,,86,,111,,89,,99,,
Typhoid fever ,2018,30,1,,149,,9,,417,,376,,367,,349,,338,,NE (1 )
Hansen's disease¶,2018,30,,-,26,,2,,92,,78,,89,,88,,81,,
Yellow fever,2018,30,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus pulmonary syndrome¶ ,2018,30,,-,2,,1,,12,,31,,21,,32,,21,,
"Hepatitis B, perinatal infection",2018,30,,-,10,,1,,31,,34,,37,,47,,48,,
"Viral hemorrhagic fevers***, Lujo virus",2018,30,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,31,,-,102,,1,,120,,85,,188,,667,,187,,
"Q fever¶, acute",2018,31,,-,80,,3,,153,,132,,122,,132,,137,,
"Polio virus Infection, nonparalytic¶",2018,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,31,,-,88,,2,,189,,159,,135,,266,,233,,
Cyclosporiasis¶,2018,31,29,,1660,,59,,1194,,535,,645,,388,,784,,"NY (1 ), OH (9 ), MO (5 ), NE (1 ), MD (1 ), VA (1 ), GA (1 ), TX (8 ), CO (1 ), CA (1 )"
"Poliomyelitis, paralytic",2018,31,,-,,-,,-,,-,,-,,-,,-,1,,
"Meningococcal disease, Other serogroups",2018,31,,-,12,,0,,25,,21,,21,,25,,17,,
"Meningococcal disease, Serogroup B",2018,31,,-,32,,1,,90,,86,,111,,89,,99,,
"Viral hemorrhagic fever***, Marburg virus",2018,31,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, total",2018,31,,-,93,,4,,193,,164,,156,,168,,170,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,31,,-,37,,3,,109,,108,,183,,212,,248,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,31,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,31,,-,35,,10,,156,,247,,896,,,NN,,NN,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,31,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, chronic",2018,31,,-,13,,1,,40,,32,,34,,36,,33,,
Typhoid fever ,2018,31,,-,156,,9,,418,,376,,367,,349,,338,,
Yellow fever,2018,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Machupo virus",2018,31,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, total",2018,31,1,,103,,3,,177,,201,,195,,161,,152,,
"Syphilis, congenital",2018,31,,-,328,,12,,919,,633,,493,,458,,348,,
"Viral hemorrhagic fevers***, Lujo virus",2018,31,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Rabies, human",2018,31,,-,1,,0,,2,,,-,2,,1,,2,,
Psittacosis¶,2018,31,,-,6,,0,,5,,12,,4,,8,,6,,
Leptospirosis¶,2018,31,,-,32,,1,,69,,78,,40,,38,,,NN,
Toxic-shock syndrome (other than Streptococcal)¶,2018,31,,-,14,,1,,30,,40,,64,,59,,71,,
"Viral hemorrhagic fever***, Sabia virus",2018,31,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, other (wound and unspecified)",2018,31,,-,19,,0,,21,,26,,20,,19,,12,,
Plague,2018,31,,-,1,,0,,1,,4,,16,,10,,4,,
"Botulism, foodborne",2018,31,,-,7,,0,,19,,31,,37,,15,,4,,
Novel Influenza A virus infections§§,2018,31,,-,1,,2,,66,,23,,7,,3,,21,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,31,,-,8,,3,,63,,35,,55,,80,,85,,
"Meningococcal disease, Serogroups ACWY",2018,31,,-,59,,2,,107,,126,,120,,123,,142,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,31,,-,19,,1,,33,,30,,29,,40,,31,,
Paratyphoid fever¶¶,2018,31,,-,19,,,NA,,NA,,NA,,NA,,NA,,NA,
Listeriosis,2018,31,16,,321,,22,,887,,786,,768,,769,,735,,"VT (1 ), NY (3 ), NYC (4 ), MO (1 ), MD (2 ), GA (1 ), TX (3 ), CO (1 )"
Hantavirus pulmonary syndrome¶ ,2018,31,,-,2,,0,,12,,31,,21,,32,,21,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,31,,-,,-,1,,11,,8,,23,,10,,1,,
"Botulism, infant",2018,31,1,,77,,2,,137,,144,,138,,127,,136,,KY (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,31,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2018,31,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-resistant Staphylococcus aureus¶,2018,31,,-,,-,0,,,-,,-,3,,,-,,-,
Diphtheria,2018,31,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,31,,-,3,,1,,75,,15,,11,,11,,22,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,31,1,,98,,3,,200,,196,,175,,128,,141,,NY (1 )
"Viral hemorrhagic fevers***, Guanarito virus",2018,31,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,31,2,,116,,9,,338,,307,,274,,250,,329,,"OH (1 ), MT (1 )"
Anthrax,2018,31,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2018,31,,-,11,,0,,7,,11,,11,,,-,,-,
Hansen's disease¶,2018,31,,-,28,,2,,94,,78,,89,,88,,81,,
Cholera,2018,31,,-,2,,0,,4,,15,,5,,5,,14,,
Streptococcal toxic-shock syndrome¶,2018,31,2,,188,,3,,372,,283,,335,,259,,224,,"VA (1 ), GA (1 )"
"Viral hemorrhagic fevers***, Ebola virus ",2018,31,,-,,-,,-,,-,,-,,-,4,,,NP,
"Meningococcal disease, Unknown serogroup",2018,31,,-,97,,2,,131,,142,,120,,196,,298,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,31,,-,5,,0,,34,,22,,7,,8,,12,,
"Influenza-associated pediatric mortality¶,**",2018,31,1,,168,,1,,126,,82,,130,,141,,160,,GA (1 )
"Hepatitis B, perinatal infection",2018,31,,-,10,,1,,31,,34,,37,,47,,48,,
Trichinellosis¶,2018,31,,-,,-,0,,16,,26,,14,,14,,22,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,31,,-,2,,0,,5,,7,,6,,8,,8,,
"Viral hemorrhagic fevers***, Lassa virus",2018,31,,-,,-,,-,,-,,-,1,,1,,,NP,
Tularemia,2018,31,6,,80,,9,,239,,230,,314,,180,,203,,"MO (2 ), NE (1 ), MD (1 ), TN (1 ), MT (1 )"
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,31,1,,159,,3,,203,,187,,167,,39,,34,,FL (1 )
"Viral hemorrhagic fevers***, Junin virus",2018,31,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Unknown serogroup",2018,32,1,,99,,2,,131,,142,,120,,196,,298,,NYC (1 )
Streptococcal toxic-shock syndrome¶,2018,32,1,,192,,3,,372,,283,,335,,259,,224,,ME (1 )
"Hepatitis B, perinatal infection",2018,32,1,,11,,1,,31,,34,,37,,47,,48,,GA (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,32,1,,3,,0,,5,,7,,6,,8,,8,,FL (1 )
Typhoid fever,2018,32,,-,165,,9,,419,,376,,367,,349,,338,,
"Botulism, total",2018,32,,-,103,,3,,177,,201,,195,,161,,152,,
Chancroid,2018,32,1,,12,,0,,7,,11,,11,,,-,,-,TX (1 )
Vancomycin-resistant Staphylococcus aureus¶,2018,32,,-,,-,0,,,-,,-,3,,,-,,-,
Plague,2018,32,,-,1,,1,,1,,4,,16,,10,,4,,
"Botulism, infant",2018,32,,-,76,,2,,137,,144,,138,,127,,136,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease",2018,32,,-,4,,1,,75,,15,,11,,11,,22,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,32,1,,91,,2,,189,,159,,135,,266,,233,,NE (1 )
"Meningococcal disease, Serogroups ACWY",2018,32,,-,61,,2,,107,,126,,120,,123,,142,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,32,,-,36,,9,,156,,247,,896,,,NN,,NN,
"Q fever¶, total",2018,32,,-,97,,4,,193,,164,,156,,168,,170,,
"Viral hemorrhagic fevers***, Machupo virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
Tularemia,2018,32,2,,92,,9,,239,,230,,314,,180,,203,,"TN (1 ), AR (1 )"
Hansen's disease¶,2018,32,,-,32,,2,,94,,78,,89,,88,,81,,
Paratyphoid fever¶¶,2018,32,,-,21,,,NA,,NA,,NA,,NA,,NA,,NA,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lassa virus",2018,32,,-,,-,,-,,-,,-,1,,1,,,NP,
Smallpox,2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2018,32,,-,,-,,-,,-,,-,,-,1,,,-,
"Meningococcal disease, Serogroup B",2018,32,,-,33,,1,,90,,86,,111,,89,,99,,
"Q fever¶, acute",2018,32,,-,84,,3,,153,,132,,122,,132,,137,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,32,,-,,-,0,,11,,8,,23,,10,,1,,
Psittacosis¶,2018,32,,-,6,,0,,5,,12,,4,,8,,6,,
"Poliomyelitis, paralytic",2018,32,,-,,-,,-,,-,,-,,-,,-,1,,
"Viral hemorrhagic fever***, Marburg virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Polio virus Infection, nonparalytic¶",2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis¶,2018,32,,-,33,,1,,69,,78,,40,,38,,,NN,
"Viral hemorrhagic fevers***, Guanarito virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,32,,-,5,,0,,34,,22,,7,,8,,12,,
"Botulism, other (wound and unspecified)",2018,32,,-,19,,0,,21,,26,,20,,19,,12,,
"Influenza-associated pediatric mortality¶,**",2018,32,,-,168,,0,,126,,82,,130,,141,,160,,
"Viral hemorrhagic fever***, Sabia virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,32,,-,104,,2,,120,,85,,188,,667,,187,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,32,,-,15,,1,,30,,40,,64,,59,,71,,
"Q fever¶, chronic",2018,32,,-,13,,1,,40,,32,,34,,36,,33,,
Cyclosporiasis¶,2018,32,44,,2065,,52,,1194,,535,,645,,388,,784,,"MA (1 ), CT (1 ), NY (3 ), OH (8 ), MD (2 ), TX (27 ), CO (2 )"
Brucellosis,2018,32,2,,65,,3,,141,,127,,126,,92,,99,,"PA (1 ), NE (1 )"
"Viral hemorrhagic fevers***, Ebola virus",2018,32,,-,,-,,-,,-,,-,,-,4,,,NP,
Trichinellosis¶,2018,32,,-,,-,0,,15,,26,,14,,14,,22,,
Listeriosis,2018,32,11,,352,,23,,887,,786,,768,,769,,735,,"NY (3 ), OH (3 ), MD (2 ), VA (1 ), FL (1 ), TX (1 )"
Hantavirus pulmonary syndrome¶,2018,32,,-,2,,0,,12,,31,,21,,32,,21,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Other serogroups",2018,32,,-,12,,0,,25,,21,,21,,25,,17,,
"Rabies, human",2018,32,,-,1,,0,,2,,,-,2,,1,,2,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,32,1,,160,,3,,203,,187,,167,,39,,34,,OH (1 )
Novel Influenza A virus infections§§,2018,32,,-,1,,1,,66,,23,,7,,3,,21,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,32,,-,20,,1,,33,,30,,29,,40,,31,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease",2018,32,1,,15,,3,,63,,35,,55,,80,,85,,TN (1 )
"Hemolytic uremic syndrome, postdiarrheal¶",2018,32,3,,125,,9,,338,,307,,274,,250,,329,,"NE (2 ), ID (1 )"
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,32,,-,,-,0,,,-,6,,3,,,NN,,NN,
Cholera,2018,32,,-,2,,0,,4,,15,,5,,5,,14,,
"Syphilis, congenital",2018,32,,-,348,,12,,920,,633,,493,,458,,348,,
"Viral hemorrhagic fevers***, Junin virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype",2018,32,,-,98,,2,,200,,196,,175,,128,,141,,
Anthrax,2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2018,32,,-,8,,0,,19,,31,,37,,15,,4,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,32,,-,37,,3,,109,,108,,183,,212,,248,,
"Viral hemorrhagic fevers***, Lujo virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Unknown serogroup",2018,32,1,,99,,2,,131,,142,,120,,196,,298,,NYC (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,32,,-,98,,2,,200,,196,,175,,128,,141,,
Streptococcal toxic-shock syndrome¶,2018,32,1,,192,,3,,372,,283,,335,,259,,224,,ME (1 )
"Hepatitis B, perinatal infection",2018,32,1,,11,,1,,31,,34,,37,,47,,48,,GA (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,32,1,,3,,0,,5,,7,,6,,8,,8,,FL (1 )
Hantavirus pulmonary syndrome¶ ,2018,32,,-,2,,0,,12,,31,,21,,32,,21,,
"Botulism, total",2018,32,,-,103,,3,,177,,201,,195,,161,,152,,
Chancroid,2018,32,1,,12,,0,,7,,11,,11,,,-,,-,TX (1 )
Vancomycin-resistant Staphylococcus aureus¶,2018,32,,-,,-,0,,,-,,-,3,,,-,,-,
Plague,2018,32,,-,1,,1,,1,,4,,16,,10,,4,,
"Botulism, infant",2018,32,,-,76,,2,,137,,144,,138,,127,,136,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,32,1,,91,,2,,189,,159,,135,,266,,233,,NE (1 )
Typhoid fever ,2018,32,,-,165,,9,,419,,376,,367,,349,,338,,
"Meningococcal disease, Serogroups ACWY",2018,32,,-,61,,2,,107,,126,,120,,123,,142,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,32,,-,36,,9,,156,,247,,896,,,NN,,NN,
"Q fever¶, total",2018,32,,-,97,,4,,193,,164,,156,,168,,170,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,32,,-,,-,,-,,-,,-,,-,4,,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
Tularemia,2018,32,2,,92,,9,,239,,230,,314,,180,,203,,"TN (1 ), AR (1 )"
Hansen's disease¶,2018,32,,-,32,,2,,94,,78,,89,,88,,81,,
Paratyphoid fever¶¶,2018,32,,-,21,,,NA,,NA,,NA,,NA,,NA,,NA,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lassa virus",2018,32,,-,,-,,-,,-,,-,1,,1,,,NP,
Smallpox,2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2018,32,,-,,-,,-,,-,,-,,-,1,,,-,
"Meningococcal disease, Serogroup B",2018,32,,-,33,,1,,90,,86,,111,,89,,99,,
"Q fever¶, acute",2018,32,,-,84,,3,,153,,132,,122,,132,,137,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,32,,-,,-,0,,11,,8,,23,,10,,1,,
Psittacosis¶,2018,32,,-,6,,0,,5,,12,,4,,8,,6,,
"Poliomyelitis, paralytic",2018,32,,-,,-,,-,,-,,-,,-,,-,1,,
"Viral hemorrhagic fever***, Marburg virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Polio virus Infection, nonparalytic¶",2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis¶,2018,32,,-,33,,1,,69,,78,,40,,38,,,NN,
"Viral hemorrhagic fevers***, Guanarito virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,32,,-,5,,0,,34,,22,,7,,8,,12,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,32,1,,15,,3,,63,,35,,55,,80,,85,,TN (1 )
"Botulism, other (wound and unspecified)",2018,32,,-,19,,0,,21,,26,,20,,19,,12,,
"Influenza-associated pediatric mortality¶,**",2018,32,,-,168,,0,,126,,82,,130,,141,,160,,
"Viral hemorrhagic fever***, Sabia virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,32,,-,104,,2,,120,,85,,188,,667,,187,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,32,,-,15,,1,,30,,40,,64,,59,,71,,
"Q fever¶, chronic",2018,32,,-,13,,1,,40,,32,,34,,36,,33,,
Cyclosporiasis¶,2018,32,44,,2065,,52,,1194,,535,,645,,388,,784,,"MA (1 ), CT (1 ), NY (3 ), OH (8 ), MD (2 ), TX (27 ), CO (2 )"
Brucellosis,2018,32,2,,65,,3,,141,,127,,126,,92,,99,,"PA (1 ), NE (1 )"
Trichinellosis¶,2018,32,,-,,-,0,,15,,26,,14,,14,,22,,
Listeriosis,2018,32,11,,352,,23,,887,,786,,768,,769,,735,,"NY (3 ), OH (3 ), MD (2 ), VA (1 ), FL (1 ), TX (1 )"
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Other serogroups",2018,32,,-,12,,0,,25,,21,,21,,25,,17,,
"Rabies, human",2018,32,,-,1,,0,,2,,,-,2,,1,,2,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,32,1,,160,,3,,203,,187,,167,,39,,34,,OH (1 )
Novel Influenza A virus infections§§,2018,32,,-,1,,1,,66,,23,,7,,3,,21,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,32,,-,20,,1,,33,,30,,29,,40,,31,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,32,,-,4,,1,,75,,15,,11,,11,,22,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,32,3,,125,,9,,338,,307,,274,,250,,329,,"NE (2 ), ID (1 )"
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,32,,-,,-,0,,,-,6,,3,,,NN,,NN,
Cholera,2018,32,,-,2,,0,,4,,15,,5,,5,,14,,
"Syphilis, congenital",2018,32,,-,348,,12,,920,,633,,493,,458,,348,,
"Viral hemorrhagic fevers***, Junin virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
Anthrax,2018,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2018,32,,-,8,,0,,19,,31,,37,,15,,4,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,32,,-,37,,3,,109,,108,,183,,212,,248,,
"Viral hemorrhagic fevers***, Lujo virus",2018,32,,-,,-,,-,,-,,-,,-,,NP,,NP,
