Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
"Hemolytic uremic syndrome, postdiarrheal§",2014,28,3,,60,,8,,329,,274,,290,,266,,242,,"VA (2 ), CO (1 )"
"Hepatitis B, virus infection perinatal",2014,28,1,,25,,1,,50,,40,,,U,,U,,U,PA (1 )
"Influenza-associated pediatric mortality§,††",2014,28,1,,95,,1,,161,,52,,118,,61,,358,,NM (1 )
Leptospirosis,2014,28,,-,6,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,28,12,,237,,19,,730,,727,,870,,821,,851,,"PA (3 ), MD (2 ), NC (1 ), FL (2 ), TN (1 ), ID (1 ), WA (1 ), CA (1 )"
Measles§§,2014,28,3,,552,,2,,187,,55,,220,,63,,71,,"OH (1 ), TX (2 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,28,,-,59,,3,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,28,,-,33,,1,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,28,,-,8,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,28,1,,143,,6,,298,,260,,323,,406,,482,,GA (1 )
Novel influenza A virus infections***,2014,28,,-,,-,213,,21,,313,,14,,4,,43774,,
Plague,2014,28,,-,1,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,28,,-,,-,0,,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,28,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,28,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,28,2,,67,,3,,153,,135,,134,,131,,113,,
"Q fever, acute",2014,28,2,,52,,2,,121,,113,,110,,106,,93,,"GA (1 ), FL (1 )"
"Q fever, chronic",2014,28,,-,15,,0,,32,,22,,24,,25,,20,,
"Rabies, human",2014,28,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,28,,-,5,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,28,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,28,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,28,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,28,1,,117,,3,,224,,194,,168,,142,,161,,ME (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,28,,-,101,,8,,344,,322,,360,,377,,423,,
Tetanus,2014,28,,-,12,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,28,1,,22,,1,,71,,65,,78,,82,,74,,NY (1 )
Trichinellosis,2014,28,1,,6,,0,,22,,18,,15,,7,,13,,MI (1 )
Tularemia,2014,28,5,,39,,6,,202,,149,,166,,124,,93,,"VT (1 ), MO (1 ), OK (1 ), WA (2 )"
Typhoid fever,2014,28,4,,151,,7,,338,,354,,390,,467,,397,,"NYC (2 ), OH (1 ), MD (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,28,1,,94,,2,,244,,134,,82,,91,,78,,MO (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,28,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,28,16,,276,,34,,1198,,1111,,832,,846,,789,,"NY (3 ), NYC (3 ), PA (1 ), MD (2 ), VA (1 ), FL (4 ), TX (1 ), WA (1 )"
Viral hemorrhagic fever¶¶¶,2014,28,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,28,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,29,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,29,,-,3,,6,,112,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,29,,-,,-,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,29,,-,,-,0,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,29,,-,1,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,29,2,,66,,2,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,29,2,,3,,0,,4,,27,,24,,7,,10,,NY (2 )
"Botulism, infant",2014,29,,-,52,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,29,,-,11,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,29,1,,35,,3,,99,,114,,79,,115,,115,,CA (1 )
Chancroid,2014,29,,-,10,,0,,10,,15,,8,,24,,28,,
Cholera,2014,29,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,29,21,,102,,20,,784,,123,,151,,179,,141,,"MA (2 ), NY (1 ), NYC (3 ), MD (1 ), FL (4 ), TX (10 )"
Diphtheria,2014,29,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,29,,-,13,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,29,3,,92,,3,,222,,205,,145,,200,,236,,"OH (1 ), OK (1 ), AK (1 )"
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,29,,-,147,,3,,184,,210,,226,,223,,178,,
Hansen disease§,2014,29,2,,28,,2,,81,,82,,82,,98,,103,,"NYC (1 ), FL (1 )"
Hantavirus pulmonary syndrome§,2014,29,,-,7,,1,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,29,5,,71,,9,,329,,274,,290,,266,,242,,"MI (1 ), NC (1 ), OK (1 ), TX (1 ), CO (1 )"
"Hepatitis B, virus infection perinatal",2014,29,1,,26,,1,,50,,40,,,U,,U,,U,TN (1 )
"Influenza-associated pediatric mortality§,††",2014,29,4,,99,,1,,161,,52,,118,,61,,358,,"NJ (2 ), MN (1 ), TX (1 )"
Leptospirosis,2014,29,,-,6,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,29,2,,251,,20,,730,,727,,870,,821,,851,,"NY (1 ), NYC (1 )"
Measles§§,2014,29,3,,568,,2,,187,,55,,220,,63,,71,,OH (3 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,29,,-,63,,3,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,29,,-,33,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,29,,-,8,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,29,,-,144,,5,,298,,260,,323,,406,,482,,
Novel influenza A virus infections***,2014,29,,-,,-,201,,21,,313,,14,,4,,43774,,
"Poliomyelitis, paralytic",2014,29,,-,,-,0,,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,29,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,29,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,29,,-,69,,3,,153,,135,,134,,131,,113,,
"Q fever, acute",2014,29,,-,54,,2,,121,,113,,110,,106,,93,,
"Q fever, chronic",2014,29,,-,15,,0,,32,,22,,24,,25,,20,,
"Rabies, human",2014,29,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,29,,-,6,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,29,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,29,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,29,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,29,2,,123,,3,,224,,194,,168,,142,,161,,"RI (1 ), NC (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,29,,-,103,,7,,344,,322,,360,,377,,423,,
Tetanus,2014,29,2,,14,,1,,26,,37,,36,,26,,18,,"FL (1 ), WA (1 )"
Toxic-shock syndrome (staphylococcal)§,2014,29,3,,26,,2,,71,,65,,78,,82,,74,,OH (3 )
Trichinellosis,2014,29,,-,8,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,29,,-,41,,5,,202,,149,,166,,124,,93,,
Typhoid fever,2014,29,2,,156,,7,,338,,354,,390,,467,,397,,NYC (2 )
Vancomycin-intermediate Staphylococcus aureus§,2014,29,1,,98,,2,,244,,134,,82,,91,,78,,MO (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,29,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,29,15,,304,,38,,1198,,1111,,832,,846,,789,,"ME (1 ), MD (3 ), VA (2 ), SC (2 ), FL (4 ), OK (1 ), OR (1 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,29,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,29,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,30,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,30,,-,3,,6,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,30,,-,,-,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,30,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,30,,-,1,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,30,,-,67,,2,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,30,,-,3,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,30,,-,53,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,30,,-,11,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,30,,-,35,,2,,99,,114,,79,,115,,115,,
Chancroid,2014,30,,-,10,,0,,10,,15,,8,,24,,28,,
Cholera,2014,30,,-,,-,1,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,30,31,,155,,21,,784,,123,,151,,179,,141,,"NY (1 ), NYC (3 ), FL (8 ), AR (1 ), TX (18 )"
Diphtheria,2014,30,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,30,,-,13,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,30,,-,98,,2,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,30,1,,150,,3,,184,,210,,226,,223,,178,,OH (1 )
Hansen disease§,2014,30,1,,33,,2,,81,,82,,82,,98,,103,,NYC (1 )
Hantavirus pulmonary syndrome§,2014,30,,-,11,,1,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,30,3,,78,,9,,329,,274,,290,,266,,242,,"MN (1 ), OK (2 )"
"Hepatitis B, virus infection perinatal",2014,30,,-,26,,1,,50,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,30,,-,99,,1,,161,,52,,118,,61,,358,,
Leptospirosis,2014,30,,-,7,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,30,7,,267,,22,,730,,727,,870,,821,,851,,"NYC (1 ), PA (2 ), FL (2 ), AL (1 ), CO (1 )"
Measles§§,2014,30,7,,578,,2,,187,,55,,220,,63,,71,,"OH (6 ), TX (1 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,30,,-,64,,3,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,30,,-,33,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,30,,-,14,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,30,1,,140,,5,,298,,260,,323,,406,,482,,OR (1 )
Novel influenza A virus infections***,2014,30,,-,,-,188,,21,,313,,14,,4,,43774,,
Plague,2014,30,,-,1,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,30,,-,,-,0,,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,30,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,30,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,30,1,,71,,3,,153,,135,,134,,131,,113,,
"Q fever, acute",2014,30,1,,56,,3,,121,,113,,110,,106,,93,,TX (1 )
"Q fever, chronic",2014,30,,-,15,,0,,32,,22,,24,,25,,20,,
"Rabies, human",2014,30,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,30,,-,6,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,30,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,30,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,30,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,30,1,,125,,2,,224,,194,,168,,142,,161,,NC (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,30,,-,109,,8,,348,,322,,360,,377,,423,,
Tetanus,2014,30,1,,14,,1,,26,,37,,36,,26,,18,,OK (1 )
Toxic-shock syndrome (staphylococcal)§,2014,30,2,,28,,2,,71,,65,,78,,82,,74,,OH (2 )
Trichinellosis,2014,30,,-,8,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,30,2,,47,,6,,202,,149,,166,,124,,93,,"MO (1 ), KY (1 )"
Typhoid fever,2014,30,2,,159,,8,,338,,354,,390,,467,,397,,"NY (1 ), TX (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,30,3,,101,,2,,244,,134,,82,,91,,78,,"NY (1 ), NYC (1 ), AL (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,30,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,30,17,,329,,43,,1198,,1111,,832,,846,,789,,"PA (1 ), MO (1 ), MD (3 ), VA (1 ), NC (1 ), FL (6 ), TX (2 ), WA (2 )"
Viral hemorrhagic fever¶¶¶,2014,30,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,30,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,31,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,31,,-,6,,7,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,31,,-,,-,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,31,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,31,,-,2,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,31,,-,1,,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,31,1,,74,,2,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,31,,-,3,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,31,1,,59,,2,,136,,123,,97,,80,,83,,NY (1 )
"Botulism, other (wound and unspecified)",2014,31,,-,12,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,31,,-,36,,3,,99,,114,,79,,115,,115,,
Chancroid,2014,31,,-,10,,0,,10,,15,,8,,24,,28,,
Cholera,2014,31,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,31,58,,221,,19,,784,,123,,151,,179,,141,,"NY (2 ), NYC (1 ), OH (1 ), MI (1 ), FL (4 ), TX (49 )"
Diphtheria,2014,31,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,31,1,,15,,0,,31,,30,,14,,23,,35,,NY (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,31,1,,110,,2,,222,,205,,145,,200,,236,,KS (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,31,2,,152,,3,,184,,210,,226,,223,,178,,"NYC (1 ), FL (1 )"
Hansen disease§,2014,31,1,,35,,2,,81,,82,,82,,98,,103,,NYC (1 )
Hantavirus pulmonary syndrome§,2014,31,,-,11,,1,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,31,7,,84,,8,,329,,274,,290,,266,,242,,"OH (1 ), MI (1 ), GA (1 ), FL (1 ), AR (1 ), OK (1 ), TX (1 )"
"Hepatitis B, virus infection perinatal",2014,31,,-,25,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,31,1,,100,,1,,161,,52,,118,,61,,358,,CA (1 )
Leptospirosis,2014,31,,-,7,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,31,14,,291,,23,,730,,727,,870,,821,,851,,"NY (1 ), PA (2 ), VA (2 ), NC (2 ), FL (2 ), TN (1 ), WA (2 ), CA (2 )"
Measles§§,2014,31,,-,581,,2,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,31,,-,69,,3,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,31,,-,35,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,31,,-,14,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,31,4,,143,,5,,298,,260,,323,,406,,482,,"FL (2 ), OR (2 )"
Novel influenza A virus infections***,2014,31,,-,,-,164,,21,,313,,14,,4,,43774,,
Plague,2014,31,,-,1,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,31,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,31,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,31,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,31,2,,75,,3,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,31,1,,59,,2,,137,,113,,110,,106,,93,,CA (1 )
"Q fever, chronic",2014,31,1,,16,,0,,33,,22,,24,,25,,20,,TX (1 )
"Rabies, human",2014,31,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,31,,-,6,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,31,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,31,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,31,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,31,,-,125,,2,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,31,,-,115,,8,,348,,322,,360,,377,,423,,
Tetanus,2014,31,,-,15,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,31,2,,32,,2,,71,,65,,78,,82,,74,,"NY (1 ), OH (1 )"
Trichinellosis,2014,31,,-,8,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,31,1,,58,,5,,203,,149,,166,,124,,93,,OK (1 )
Typhoid fever,2014,31,4,,172,,9,,338,,354,,390,,467,,397,,"GA (1 ), WA (2 ), CA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,31,2,,105,,2,,248,,134,,82,,91,,78,,"OH (1 ), MO (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,31,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,31,27,,378,,46,,1299,,1111,,832,,846,,789,,"NY (5 ), MD (1 ), VA (4 ), FL (7 ), KY (1 ), AL (1 ), TX (2 ), WA (5 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,31,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,31,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,32,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,32,,-,6,,7,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,32,,-,,-,1,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,32,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,32,,-,2,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,32,1,,79,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,32,,-,3,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,32,,-,62,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,32,1,,14,,0,,12,,18,,32,,25,,25,,AR (1 )
Brucellosis,2014,32,,-,36,,2,,99,,114,,79,,115,,115,,
Chancroid,2014,32,1,,12,,0,,10,,15,,8,,24,,28,,CA (1 )
Cholera,2014,32,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,32,31,,266,,17,,784,,123,,151,,179,,141,,"NY (1 ), NYC (2 ), NE (1 ), GA (1 ), FL (2 ), TX (24 )"
Diphtheria,2014,32,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,32,,-,15,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,32,1,,112,,2,,222,,205,,145,,200,,236,,WA (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,32,1,,155,,3,,185,,210,,226,,223,,178,,MT (1 )
Hansen disease§,2014,32,1,,38,,2,,81,,82,,82,,98,,103,,FL (1 )
Hantavirus pulmonary syndrome§,2014,32,,-,12,,1,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,32,9,,94,,9,,329,,274,,290,,266,,242,,"OH (2 ), GA (4 ), OK (2 ), TX (1 )"
"Hepatitis B, virus infection perinatal",2014,32,,-,25,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,32,1,,101,,1,,161,,52,,118,,61,,358,,CA (1 )
Leptospirosis,2014,32,,-,6,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,32,14,,313,,24,,735,,727,,870,,821,,851,,"RI (1 ), NY (2 ), PA (2 ), VA (1 ), NC (2 ), FL (2 ), TN (2 ), WA (1 ), CA (1 )"
Measles§§,2014,32,,-,582,,2,,187,,55,,220,,63,,71,,
Chancroid,2014,33,1,,12,,0,,10,,15,,8,,24,,28,,CA (1 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,32,2,,73,,2,,142,,161,,257,,280,,301,,"TX (1 ), MT (1 )"
"Meningococcal disease, invasive¶¶, serogroup B",2014,32,1,,37,,2,,99,,110,,159,,135,,174,,TX (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,32,,-,15,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,32,,-,145,,5,,298,,260,,323,,406,,482,,
Novel influenza A virus infections***,2014,32,,-,,-,135,,21,,313,,14,,4,,43774,,
Plague,2014,32,,-,2,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,32,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,32,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,32,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,32,,-,77,,3,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,32,,-,61,,2,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,32,,-,16,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,32,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,32,,-,6,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,32,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,32,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,32,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,32,2,,128,,2,,224,,194,,168,,142,,161,,"MD (1 ), ID (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,32,,-,134,,8,,348,,322,,360,,377,,423,,
Tetanus,2014,32,,-,16,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,32,,-,32,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,32,,-,8,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,32,1,,74,,5,,203,,149,,166,,124,,93,,MO (1 )
Typhoid fever,2014,32,4,,176,,10,,338,,354,,390,,467,,397,,"RI (1 ), MD (2 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,32,,-,111,,2,,248,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,32,,-,1,,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,32,25,,427,,46,,1299,,1111,,832,,846,,789,,"RI (2 ), NY (2 ), NYC (1 ), MD (1 ), VA (3 ), NC (1 ), FL (9 ), TX (2 ), WA (2 ), OR (2 )"
Viral hemorrhagic fever¶¶¶,2014,32,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,32,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,33,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,33,,-,9,,7,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,33,,-,1,,1,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,33,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,33,,-,2,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,33,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,33,,-,81,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,33,,-,3,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,33,,-,63,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,33,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,33,2,,39,,2,,99,,114,,79,,115,,115,,WA (2 )
Cholera,2014,33,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,33,9,,276,,15,,784,,123,,151,,179,,141,,"NYC (3 ), FL (1 ), TX (5 )"
Diphtheria,2014,33,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,33,,-,15,,1,,31,,30,,14,,23,,35,,
