Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2017,"Cum 2017, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2016,"Total cases reported  2016, flag",Total cases reported 2015,"Total cases reported 2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",States reporting cases during current week (No.) 
"Hemolytic uremic syndrome, postdiarrheal**",2017,28,1,,107,,9,,307,,274,,250,,329,,274,,VA (1 )
"Botulism, infant",2017,28,,-,59,,3,,144,,138,,127,,136,,123,,
"Rabies, human",2017,28,,-,,-,0,,,-,2,,1,,2,,1,,
"Botulism, total",2017,28,,-,79,,3,,200,,195,,161,,152,,168,,
Leptospirosis**,2017,28,,-,27,,1,,78,,40,,38,,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,28,,-,,-,0,,7,,6,,8,,8,,15,,
"Botulism, other (wound and unspecified)",2017,28,,-,9,,1,,26,,20,,19,,12,,18,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,28,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017,28,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,28,6,,155,,3,,216,,167,,39,,34,,37,,"NY (2 ), NYC (1 ), MO (1 ), FL (2 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,28,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,28,,-,32,,1,,81,,111,,89,,99,,110,,
"Poliomyelitis, paralytic",2017,28,,-,,-,0,,,-,,-,,-,1,,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,28,3,,66,,3,,178,,175,,128,,141,,115,,"WA (2 ), OR (1 )"
Plague,2017,28,,-,1,,0,,,-,16,,10,,4,,4,,
Vancomycin-resistant Staphylococcus aureus**,2017,28,,-,,-,,-,,-,3,,,-,,-,2,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,28,1,,7,,1,,15,,11,,11,,22,,2,,ME (1 )
Tularemia,2017,29,7,,87,,9,,230,,314,,180,,203,,149,,"OK (6 ), TX (1 )"
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,29,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017,29,,-,9,,1,,34,,37,,47,,48,,40,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,29,,-,77,,3,,196,,175,,128,,141,,115,,
Cholera,2017,29,,-,,-,0,,2,,5,,5,,14,,17,,
"Influenza-associated pediatric mortality**,¶¶",2017,29,1,,107,,1,,83,,130,,141,,160,,52,,TX (1 )
"Q fever, chronic**",2017,29,,-,17,,1,,32,,34,,36,,33,,22,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,29,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,29,1,,41,,2,,126,,120,,123,,142,,161,,WA (1 )
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,29,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,29,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2017,29,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen's disease**,2017,29,,-,40,,2,,78,,89,,88,,81,,82,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,29,,-,,-,,-,2,,3,,,NN,,NN,,NN,
"Botulism, infant",2017,29,1,,61,,3,,144,,138,,127,,136,,123,,KY (1 )
Novel influenza A virus infections§§§,2017,29,,-,1,,2,,23,,7,,3,,21,,313,,
"Botulism, foodborne",2017,29,,-,13,,0,,30,,37,,15,,4,,27,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,29,,-,80,,1,,159,,135,,266,,233,,263,,
"Botulism, total",2017,29,1,,83,,3,,200,,195,,161,,152,,168,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,29,3,,114,,9,,307,,274,,250,,329,,274,,OK (3 )
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,29,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus**,2017,29,,-,,-,,-,,-,3,,,-,,-,2,,
Typhoid fever (caused by Salmonella typhi),2017,29,1,,150,,8,,376,,367,,349,,338,,354,,NYC (1 )
"Syphilis, congenital¶¶¶",2017,29,,-,234,,8,,625,,493,,458,,348,,322,,
"Q fever, acute**",2017,29,,-,56,,3,,132,,122,,132,,137,,113,,
Chancroid,2017,29,,-,6,,0,,7,,11,,,-,,-,15,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,29,1,,111,,3,,142,,120,,196,,298,,260,,OR (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,29,,-,15,,0,,30,,29,,40,,31,,30,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,29,,-,4,,1,,14,,21,,32,,21,,30,,
"Arboviral diseases¶,** La Crosse virus disease",2017,29,,-,1,,1,,35,,55,,80,,85,,78,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,29,,-,8,,0,,15,,11,,11,,22,,2,,
Cyclosporiasis**,2017,29,30,,282,,44,,534,,645,,388,,784,,123,,"NY (3 ), NYC (7 ), OH (2 ), MO (4 ), NE (1 ), VA (1 ), TX (11 ), AZ (1 )"
"Viral hemorrhagic fever****, Lujo virus",2017,29,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,29,,-,38,,1,,86,,111,,89,,99,,110,,
SARS-CoV,2017,29,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017,29,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus**,2017,29,,-,40,,3,,108,,183,,212,,248,,134,,
Listeriosis,2017,29,7,,305,,20,,786,,768,,769,,735,,727,,"NY (4 ), NYC (1 ), OH (1 ), CO (1 )"
Plague,2017,29,,-,1,,0,,,-,16,,10,,4,,4,,
"Poliomyelitis, paralytic",2017,29,,-,,-,0,,,-,,-,,-,1,,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,29,,-,,-,0,,7,,6,,8,,8,,15,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,29,,-,16,,9,,246,,896,,,NN,,NN,,NN,
"Polio virus Infection, nonparalytic**",2017,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2017,29,,-,9,,0,,26,,20,,19,,12,,18,,
"Rabies, human",2017,29,,-,,-,0,,,-,2,,1,,2,,1,,
"Q fever, total**",2017,29,,-,73,,3,,164,,156,,168,,170,,135,,
"Viral hemorrhagic fever****, Lassa fever",2017,29,,-,,-,,-,,-,1,,1,,,NP,,NP,
Psittacosis**,2017,29,,-,3,,0,,12,,4,,8,,6,,2,,
"Viral hemorrhagic fever****, Marburg fever",2017,29,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Leptospirosis**,2017,29,,-,27,,1,,78,,40,,38,,,NN,,NN,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,29,,-,1,,1,,8,,23,,10,,1,,3,,
Streptococcal toxic-shock syndrome**,2017,29,2,,200,,3,,283,,335,,259,,224,,194,,"MO (1 ), ID (1 )"
Diphtheria,2017,29,,-,,-,,-,,-,,-,1,,,-,1,,
Brucellosis,2017,29,1,,52,,2,,127,,126,,92,,99,,114,,TN (1 )
Measles***,2017,29,4,,116,,2,,85,,188,,667,,187,,55,,"NY (1 ), WA (3 )"
"Arboviral diseases¶,** Powassan virus disease",2017,29,1,,14,,0,,22,,7,,8,,12,,7,,NY (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,29,4,,152,,3,,187,,167,,39,,34,,37,,"NY (3 ), FL (1 )"
Trichinellosis**,2017,29,,-,5,,0,,26,,14,,14,,22,,18,,
Toxic-shock syndrome (other than staphylococcal)**,2017,29,,-,12,,2,,40,,64,,59,,71,,65,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,29,,-,9,,0,,21,,21,,25,,17,,20,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,29,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,29,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Zika virus disease, non-congenital††††  ",2017,29,,-,228,,81,,5113,,,NN,,NN,,NN,,NN,
Anthrax,2017,29,,-,,-,,-,,-,,-,,-,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal**",2017,30,6,,123,,9,,307,,274,,250,,329,,274,,"VA (1 ), OK (3 ), CO (2 )"
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,30,,-,4,,1,,14,,21,,32,,21,,30,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,30,,-,41,,2,,126,,120,,123,,142,,161,,
Leptospirosis**,2017,30,,-,28,,1,,78,,40,,38,,,NN,,NN,
"Viral hemorrhagic fever****, Marburg fever",2017,30,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017,30,,-,9,,1,,34,,37,,47,,48,,40,,
Trichinellosis**,2017,30,,-,5,,0,,26,,14,,14,,22,,18,,
Novel influenza A virus infections§§§,2017,30,11,,12,,7,,23,,7,,3,,21,,313,,OH (11 )
Measles***,2017,30,,-,116,,2,,85,,188,,667,,187,,55,,
Brucellosis,2017,30,,-,57,,2,,127,,126,,92,,99,,114,,
"Q fever, acute**",2017,30,2,,65,,3,,132,,122,,132,,137,,113,,"NY (1 ), WY (1 )"
"Zika virus disease, non-congenital††††  ",2017,30,,-,232,,86,,5091,,,NN,,NN,,NN,,NN,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,30,,-,9,,0,,21,,21,,25,,17,,20,,
Listeriosis,2017,30,7,,320,,22,,786,,768,,769,,735,,727,,"NY (1 ), NYC (2 ), FL (3 ), MT (1 )"
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,30,,-,38,,1,,86,,111,,89,,99,,110,,
Chancroid,2017,30,,-,6,,0,,7,,11,,,-,,-,15,,
"Influenza-associated pediatric mortality**,¶¶",2017,30,1,,108,,1,,83,,130,,141,,160,,52,,IL (1 )
"Botulism, other (wound and unspecified)",2017,30,,-,9,,0,,26,,20,,19,,12,,18,,
"Arboviral diseases¶,** La Crosse virus disease",2017,30,,-,3,,2,,35,,55,,80,,85,,78,,
Cholera,2017,30,,-,,-,0,,2,,5,,5,,14,,17,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,30,,-,1,,1,,8,,23,,10,,1,,3,,
Yellow fever,2017,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,30,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,30,,-,12,,0,,15,,11,,11,,22,,2,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,30,,-,,-,0,,7,,6,,8,,8,,15,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,30,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017,30,,-,21,,10,,245,,896,,,NN,,NN,,NN,
"Poliomyelitis, paralytic",2017,30,,-,,-,0,,,-,,-,,-,1,,,-,
Tularemia,2017,30,4,,94,,10,,230,,314,,180,,203,,149,,MO (4 )
Psittacosis**,2017,30,,-,3,,0,,12,,4,,8,,6,,2,,
Streptococcal toxic-shock syndrome**,2017,30,,-,202,,3,,283,,335,,259,,224,,194,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,30,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,30,1,,82,,1,,159,,135,,266,,233,,263,,TX (1 )
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,30,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,30,,-,79,,3,,196,,175,,128,,141,,115,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,30,2,,114,,3,,142,,120,,196,,298,,260,,"PA (1 ), TX (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,30,,-,151,,3,,187,,167,,39,,34,,37,,
"Rabies, human",2017,30,,-,,-,0,,,-,2,,1,,2,,1,,
"Q fever, chronic**",2017,30,,-,16,,1,,32,,34,,36,,33,,22,,
Typhoid fever (caused by Salmonella typhi),2017,30,3,,158,,8,,376,,367,,349,,338,,354,,"NY (1 ), AR (1 ), AZ (1 )"
"Botulism, foodborne",2017,30,,-,13,,0,,31,,37,,15,,4,,27,,
"Polio virus Infection, nonparalytic**",2017,30,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017,30,,-,12,,2,,40,,64,,59,,71,,65,,
"Botulism, total",2017,30,,-,87,,3,,201,,195,,161,,152,,168,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,30,,-,15,,1,,30,,29,,40,,31,,30,,
"Viral hemorrhagic fever****, Lassa fever",2017,30,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,30,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, total**",2017,30,2,,81,,4,,164,,156,,168,,170,,135,,
"Syphilis, congenital¶¶¶",2017,30,,-,243,,9,,626,,493,,458,,348,,322,,
Cyclosporiasis**,2017,30,25,,352,,44,,535,,645,,388,,784,,123,,"NY (3 ), NYC (6 ), OH (1 ), MO (1 ), TX (10 ), CO (4 )"
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,30,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017,30,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus infection, non-HPS",2017,30,,-,,-,,-,2,,3,,,NN,,NN,,NN,
Vancomycin-intermediate Staphylococcus aureus**,2017,30,1,,43,,3,,108,,183,,212,,248,,134,,OH (1 )
Hansen's disease**,2017,30,,-,40,,2,,78,,89,,88,,81,,82,,
Vancomycin-resistant Staphylococcus aureus**,2017,30,,-,,-,0,,,-,3,,,-,,-,2,,
Plague,2017,30,,-,1,,1,,,-,16,,10,,4,,4,,
Anthrax,2017,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2017,30,,-,65,,3,,144,,138,,127,,136,,123,,
Smallpox,2017,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Powassan virus disease",2017,30,,-,16,,0,,22,,7,,8,,12,,7,,
Diphtheria,2017,30,,-,,-,,-,,-,,-,1,,,-,1,,
SARS-CoV,2017,30,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Marburg fever",2017,31,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,31,,-,,-,0,,7,,6,,8,,8,,15,,
"Arboviral diseases¶,** La Crosse virus disease",2017,31,,-,5,,2,,35,,55,,80,,85,,78,,
Cyclosporiasis**,2017,31,35,,445,,39,,535,,645,,388,,784,,123,,"NY (2 ), NYC (6 ), NE (2 ), GA (2 ), TX (19 ), CO (4 )"
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,31,,-,1,,1,,8,,23,,10,,1,,3,,
Toxic-shock syndrome (other than staphylococcal)**,2017,31,,-,13,,2,,40,,64,,59,,71,,65,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,31,,-,80,,3,,196,,175,,128,,141,,115,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,31,1,,138,,9,,307,,274,,250,,329,,274,,CA (1 )
"Polio virus Infection, nonparalytic**",2017,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,31,,-,85,,1,,159,,135,,266,,233,,263,,
Vancomycin-resistant Staphylococcus aureus**,2017,31,,-,,-,0,,,-,3,,,-,,-,2,,
Tularemia,2017,31,,-,97,,8,,230,,314,,180,,203,,149,,
"Rabies, human",2017,31,,-,,-,0,,,-,2,,1,,2,,1,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,31,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Hansen's disease**,2017,31,,-,40,,2,,78,,89,,88,,81,,82,,
"Zika virus disease, non-congenital††††  ",2017,31,6,,248,,88,,5106,,,NN,,NN,,NN,,NN,"NY (1 ), FL (3 ), TX (2 )"
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,31,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,31,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever (caused by Salmonella typhi),2017,31,5,,165,,8,,376,,367,,349,,338,,354,,"NYC (1 ), PA (1 ), OH (2 ), OK (1 )"
Measles***,2017,31,,-,117,,1,,85,,188,,667,,187,,55,,
Leptospirosis**,2017,31,,-,29,,1,,78,,40,,38,,,NN,,NN,
"Influenza-associated pediatric mortality**,¶¶",2017,31,,-,108,,1,,83,,130,,141,,160,,52,,
Cholera,2017,31,,-,1,,0,,2,,5,,5,,14,,17,,
Anthrax,2017,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2017,31,,-,65,,2,,144,,138,,127,,136,,123,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,31,,-,41,,2,,126,,120,,123,,142,,161,,
Chancroid,2017,31,,-,7,,0,,7,,11,,,-,,-,15,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,31,2,,119,,3,,142,,120,,196,,298,,260,,FL (2 )
"Q fever, total**",2017,31,2,,85,,3,,164,,156,,168,,170,,135,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,31,,-,,-,0,,2,,3,,,NN,,NN,,NN,
"Q fever, chronic**",2017,31,,-,16,,1,,32,,34,,36,,33,,22,,
"Botulism, total",2017,31,,-,87,,3,,201,,195,,161,,152,,168,,
"Hepatitis B, perinatal virus infection§§",2017,31,,-,9,,1,,35,,37,,47,,48,,40,,
Novel influenza A virus infections§§§,2017,31,4,,16,,11,,23,,7,,3,,21,,313,,OH (4 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,31,,-,15,,1,,30,,29,,40,,31,,30,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,31,,-,151,,2,,187,,167,,39,,34,,37,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,31,,-,9,,0,,21,,21,,25,,17,,20,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,31,,-,38,,1,,86,,111,,89,,99,,110,,
Yellow fever,2017,31,,-,,-,,-,,-,,-,,-,,-,,-,
Trichinellosis**,2017,31,,-,5,,0,,26,,14,,14,,22,,18,,
Diphtheria,2017,31,,-,,-,,-,,-,,-,1,,,-,1,,
Vancomycin-intermediate Staphylococcus aureus**,2017,31,1,,45,,3,,108,,183,,212,,248,,134,,MO (1 )
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,31,,-,4,,0,,14,,21,,32,,21,,30,,
"Viral hemorrhagic fever****, Lujo virus",2017,31,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Listeriosis,2017,31,9,,346,,21,,786,,768,,769,,735,,727,,"NYC (1 ), PA (3 ), OH (2 ), FL (1 ), AR (1 ), OK (1 )"
"Botulism, foodborne",2017,31,,-,13,,1,,31,,37,,15,,4,,27,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,31,,-,,-,,-,,-,,-,4,,,NP,,NP,
Streptococcal toxic-shock syndrome**,2017,31,2,,210,,3,,283,,335,,259,,224,,194,,"NY (1 ), ID (1 )"
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,31,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, acute**",2017,31,2,,69,,3,,132,,122,,132,,137,,113,,AZ (2 )
"Syphilis, congenital¶¶¶",2017,31,,-,257,,9,,628,,493,,458,,348,,322,,
"Arboviral diseases¶,** Powassan virus disease",2017,31,,-,17,,0,,22,,7,,8,,12,,7,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,31,,-,28,,9,,246,,896,,,NN,,NN,,NN,
SARS-CoV,2017,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Lassa fever",2017,31,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,31,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Smallpox,2017,31,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,31,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Psittacosis**,2017,31,,-,3,,0,,12,,4,,8,,6,,2,,
"Botulism, other (wound and unspecified)",2017,31,,-,9,,0,,26,,20,,19,,12,,18,,
"Poliomyelitis, paralytic",2017,31,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,31,,-,12,,0,,15,,11,,11,,22,,2,,
Brucellosis,2017,31,1,,64,,3,,127,,126,,92,,99,,114,,OK (1 )
Plague,2017,31,,-,1,,0,,,-,16,,10,,4,,4,,
Typhoid fever (caused by Salmonella typhi),2017,32,1,,167,,9,,376,,367,,349,,338,,354,,WA (1 )
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,32,,-,,-,,-,,-,,-,4,,,NP,,NP,
Tularemia,2017,32,1,,101,,8,,230,,314,,180,,203,,149,,MO (1 )
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,32,,-,9,,0,,21,,21,,25,,17,,20,,
Anthrax,2017,32,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,32,,-,1,,0,,8,,23,,10,,1,,3,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,32,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,32,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,32,2,,155,,2,,187,,167,,39,,34,,37,,"NY (1 ), FL (1 )"
"Botulism, foodborne",2017,32,,-,13,,1,,31,,37,,15,,4,,27,,
Brucellosis,2017,32,1,,66,,3,,127,,126,,92,,99,,114,,NE (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,32,,-,40,,1,,86,,111,,89,,99,,110,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,32,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017,32,1,,14,,1,,40,,64,,59,,71,,65,,TN (1 )
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,32,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017,32,,-,140,,10,,307,,274,,250,,329,,274,,
"Syphilis, congenital¶¶¶",2017,32,,-,274,,9,,628,,493,,458,,348,,322,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,32,1,,119,,2,,142,,120,,196,,298,,260,,VA (1 )
Yellow fever,2017,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,32,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Zika virus disease, non-congenital††††  ",2017,32,1,,250,,84,,5107,,,NN,,NN,,NN,,NN,FL (1 )
Streptococcal toxic-shock syndrome**,2017,32,1,,212,,3,,283,,335,,259,,224,,194,,MO (1 )
"Arboviral diseases¶,** La Crosse virus disease",2017,32,5,,11,,2,,35,,55,,80,,85,,78,,TN (5 )
Psittacosis**,2017,32,,-,3,,0,,12,,4,,8,,6,,2,,
"Botulism, total",2017,32,,-,87,,3,,201,,195,,161,,152,,168,,
Cholera,2017,32,,-,1,,0,,2,,5,,5,,14,,17,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,32,,-,,-,0,,2,,3,,,NN,,NN,,NN,
"Botulism, infant",2017,32,,-,65,,3,,144,,138,,127,,136,,123,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,32,,-,29,,9,,246,,896,,,NN,,NN,,NN,
Diphtheria,2017,32,,-,,-,,-,,-,,-,1,,,-,1,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,32,,-,85,,1,,159,,135,,266,,233,,263,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,32,,-,5,,0,,14,,21,,32,,21,,30,,
"Botulism, other (wound and unspecified)",2017,32,,-,9,,0,,26,,20,,19,,12,,18,,
"Viral hemorrhagic fever****, Marburg fever",2017,32,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Listeriosis,2017,32,9,,364,,22,,786,,768,,769,,735,,727,,"NY (1 ), NYC (3 ), PA (1 ), OH (1 ), FL (2 ), AZ (1 )"
Leptospirosis**,2017,32,,-,30,,1,,78,,40,,38,,,NN,,NN,
"Q fever, acute**",2017,32,1,,73,,3,,132,,122,,132,,137,,113,,TX (1 )
Chancroid,2017,32,,-,6,,0,,7,,11,,,-,,-,15,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,32,,-,,-,0,,7,,6,,8,,8,,15,,
Plague,2017,32,,-,1,,0,,,-,16,,10,,4,,4,,
Vancomycin-intermediate Staphylococcus aureus**,2017,32,,-,46,,3,,108,,183,,212,,248,,134,,
"Q fever, chronic**",2017,32,,-,16,,1,,32,,34,,36,,33,,22,,
"Q fever, total**",2017,32,1,,89,,3,,164,,156,,168,,170,,135,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,32,,-,41,,2,,126,,120,,123,,142,,161,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,32,,-,17,,1,,15,,11,,11,,22,,2,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,32,1,,83,,3,,196,,175,,128,,141,,115,,ME (1 )
Hansen's disease**,2017,32,,-,41,,2,,78,,89,,88,,81,,82,,
"Polio virus Infection, nonparalytic**",2017,32,,-,,-,,-,,-,,-,,-,,-,,-,
SARS-CoV,2017,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Poliomyelitis, paralytic",2017,32,,-,,-,,-,,-,,-,,-,1,,,-,
"Rabies, human",2017,32,,-,,-,0,,,-,2,,1,,2,,1,,
Vancomycin-resistant Staphylococcus aureus**,2017,32,,-,,-,0,,,-,3,,,-,,-,2,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,32,,-,,-,,-,,-,,-,,NP,,NP,,NP,
